slug	name	isAcademic	isCritic	isAuthor	isJournalist
adam-roberts	Adam Roberts	FALSE	FALSE	TRUE	FALSE
adam-thirlwell	Adam Thirlwell	FALSE	FALSE	TRUE	FALSE
ahdaf-soueif	Ahdaf Soueif	FALSE	FALSE	TRUE	TRUE
aida-edemariam	Aida Edemariam	FALSE	FALSE	TRUE	TRUE
alain-mabanckou	Alain Mabanckou	TRUE	FALSE	TRUE	FALSE
alberto-manguel	Alberto Manguel	FALSE	FALSE	TRUE	FALSE
alex-clark	Alex Clark	FALSE	FALSE	FALSE	FALSE
alex-needham	Alex Needham	FALSE	FALSE	FALSE	TRUE
alexandra-harris	Alexandra Harris	TRUE	FALSE	TRUE	FALSE
ali-smith	Ali Smith	FALSE	FALSE	TRUE	FALSE
amanda-craig	Amanda Craig	FALSE	FALSE	TRUE	FALSE
amit-chaudhuri	Amit Chaudhuri	FALSE	FALSE	TRUE	FALSE
andrew-solomon	Andrew Solomon	FALSE	FALSE	TRUE	FALSE
anne-enright	Anne Enright	FALSE	FALSE	TRUE	FALSE
arifa-akbar	Arifa Akbar	FALSE	FALSE	FALSE	TRUE
beejay-silcox	Beejay Silcox	FALSE	FALSE	FALSE	FALSE
ben-markovits	Ben Markovits	FALSE	FALSE	TRUE	FALSE
ben-okri	Ben Okri	FALSE	FALSE	TRUE	FALSE
benjamin-myers	Benjamin Myers	FALSE	FALSE	TRUE	FALSE
bernardine-evaristo	Bernardine Evaristo	FALSE	FALSE	TRUE	FALSE
blake-morrison	Blake Morrison	FALSE	FALSE	TRUE	FALSE
candice-carty-williams	Candice Carty Williams	FALSE	FALSE	TRUE	FALSE
catherine-taylor	Catherine Taylor	FALSE	FALSE	TRUE	FALSE
charlotte-higgins	Charlotte Higgins	FALSE	FALSE	FALSE	TRUE
charlotte-mendelson	Charlotte Mendelson	FALSE	FALSE	TRUE	FALSE
charlotte-northedge	Charlotte Northedge	FALSE	FALSE	FALSE	TRUE
chigozie-obioma	Chigozie Obioma	FALSE	FALSE	TRUE	FALSE
chloe-aridjis	Chloe Aridjis	FALSE	FALSE	TRUE	FALSE
chris-power	Chris Power	FALSE	FALSE	TRUE	FALSE
christobel-kent	Christobel Kent	FALSE	FALSE	TRUE	FALSE
claire-armitstead	Claire Armitstead	FALSE	FALSE	FALSE	FALSE
claire-messud	Claire Messud	FALSE	FALSE	TRUE	FALSE
clare-clark	Clare Clark	FALSE	FALSE	TRUE	FALSE
colm-toibin	Colm Tóibín	FALSE	FALSE	TRUE	FALSE
colum-mccann	Colum McCann	FALSE	FALSE	TRUE	FALSE
daisy-johnson	Daisy Johnson	FALSE	FALSE	TRUE	FALSE
damian-barr	Damian Barr	FALSE	FALSE	TRUE	FALSE
daniel-kehlmann	Daniel Kehlmann	FALSE	FALSE	TRUE	FALSE
david-diop	David Diop	TRUE	FALSE	FALSE	FALSE
david-nicholls	David Nicholls	FALSE	FALSE	TRUE	FALSE
david-shariatmadari	David Shariatmadari	FALSE	FALSE	FALSE	TRUE
derek-owusu	Derek Owusu	FALSE	FALSE	TRUE	FALSE
diana-evans	Diana Evans	FALSE	FALSE	TRUE	FALSE
dinah-birch	Dinah Birch	FALSE	FALSE	FALSE	FALSE
doireann-ni-ghriofa	Doireann Ní Ghríofa	FALSE	FALSE	TRUE	FALSE
dorian-lynskey	Dorian Lynskey	FALSE	FALSE	TRUE	TRUE
douglas-stuart	Douglas Stuart	FALSE	FALSE	TRUE	FALSE
eimear-mcbride	Eimear McBride	FALSE	FALSE	TRUE	FALSE
elif-batuman	Elif Batuman	FALSE	FALSE	TRUE	FALSE
elif-shafak	Elif Shafak	FALSE	FALSE	TRUE	FALSE
elizabeth-day	Elizabeth Day	FALSE	FALSE	TRUE	TRUE
ella-creamer	Ella Creamer	FALSE	FALSE	FALSE	TRUE
emma-loffhagen	Emma Loffhagen	FALSE	FALSE	FALSE	TRUE
esi-edugyan	Esi Edugyan	FALSE	FALSE	TRUE	FALSE
fiona-sampson	Fiona Sampson	FALSE	FALSE	TRUE	FALSE
fiona-sturges	Fiona Sturges	FALSE	FALSE	FALSE	TRUE
florence-knapp	Florence Knapp	FALSE	FALSE	TRUE	FALSE
freya-johnston	Freya Johnston	TRUE	FALSE	FALSE	FALSE
geoff-dyer	Geoff Dyer	FALSE	FALSE	TRUE	FALSE
guy-gunaratne	Guy Gunaratne	FALSE	FALSE	TRUE	FALSE
hermione-lee	Hermione Lee	TRUE	FALSE	TRUE	FALSE
houman-barekat	Houman Barekat	FALSE	FALSE	FALSE	FALSE
ian-mcewan	Ian McEwan	FALSE	FALSE	TRUE	FALSE
ian-patterson	Ian Patterson	TRUE	FALSE	TRUE	FALSE
ian-rankin	Ian Rankin	FALSE	FALSE	TRUE	FALSE
imogen-russell-williams	Imogen Russell Williams	FALSE	FALSE	FALSE	FALSE
jack-edwards	Jack Edwards	FALSE	FALSE	FALSE	FALSE
jacqueline-rose	Jacqueline Rose	TRUE	FALSE	TRUE	FALSE
james-meek	James Meek	FALSE	FALSE	TRUE	TRUE
jan-carson	Jan Carson	FALSE	FALSE	TRUE	FALSE
jeet-thayil	Jeet Thayil	FALSE	FALSE	TRUE	FALSE
jem-calder	Jem Calder	FALSE	FALSE	TRUE	FALSE
jennifer-egan	Jennifer Egan	FALSE	FALSE	TRUE	TRUE
jo-hamya	Jo Hamya	TRUE	FALSE	TRUE	FALSE
joanne-harris	Joanne Harris	FALSE	FALSE	TRUE	FALSE
joe-dunthorne	Joe Dunthorne	FALSE	FALSE	TRUE	FALSE
john-boyne	John Boyne	FALSE	FALSE	TRUE	FALSE
john-lanchester	John Lanchester	FALSE	FALSE	TRUE	FALSE
john-mullan	John Mullan	TRUE	FALSE	FALSE	FALSE
john-self	John Self	FALSE	FALSE	FALSE	FALSE
jon-day	Jon Day	TRUE	FALSE	TRUE	TRUE
joshua-cohen	Joshua Cohen	FALSE	FALSE	TRUE	FALSE
juan-gabriel-vasquez	Juan Gabriel Vasquez	FALSE	FALSE	TRUE	FALSE
jude-cook	Jude Cook	FALSE	FALSE	FALSE	TRUE
julie-myerson	Julie Myerson	FALSE	FALSE	TRUE	FALSE
justine-jordan	Justine Jordan	FALSE	FALSE	FALSE	TRUE
kate-mosse	Kate Mosse	FALSE	FALSE	TRUE	FALSE
katharine-viner	Katharine Viner	FALSE	FALSE	FALSE	TRUE
katherine-rundell	Katherine Rundell	FALSE	FALSE	TRUE	FALSE
kathryn-hughes	Kathryn Hughes	TRUE	FALSE	FALSE	FALSE
kevin-power	Kevin Power	FALSE	FALSE	FALSE	FALSE
kieran-goddard	Kieran Goddard	FALSE	FALSE	TRUE	FALSE
kit-de-waal	Kit de Waal	TRUE	FALSE	TRUE	FALSE
lara-feigel	Lara Feigel	TRUE	FALSE	TRUE	TRUE
laura-wilson	Laura Wilson	FALSE	FALSE	TRUE	FALSE
lauren-elkin	Lauren Elkin	FALSE	FALSE	TRUE	FALSE
liese-spencer	Liese Spencer	FALSE	FALSE	FALSE	TRUE
lily-king	Lily King	FALSE	FALSE	TRUE	FALSE
lisa-allardice	Lisa Allardice	FALSE	FALSE	FALSE	TRUE
lisa-tuttle	Lisa Tuttle	FALSE	FALSE	TRUE	FALSE
lorrie-moore	Lorrie Moore	FALSE	FALSE	TRUE	FALSE
lucas-rijneveld	Lucas Rijneveld	FALSE	FALSE	TRUE	FALSE
lucy-knight	Lucy Knight	FALSE	FALSE	FALSE	TRUE
m-john-harrison	M. John Harrison	FALSE	FALSE	TRUE	FALSE
maaza-mengiste	Maaza Mengiste	FALSE	FALSE	TRUE	FALSE
maggie-ofarrell	Maggie O’Farrell	FALSE	FALSE	TRUE	FALSE
marcel-theroux	Marcel Theroux	FALSE	FALSE	TRUE	TRUE
mark-haddon	Mark Haddon	FALSE	FALSE	TRUE	FALSE
matt-haig	Matt Haig	FALSE	FALSE	FALSE	TRUE
maya-jaggi	Maya Jaggi	FALSE	FALSE	FALSE	TRUE
maya-jasanoff	Maya Jasanoff	TRUE	FALSE	FALSE	FALSE
mazen-maarouf	Mazen Maarouf	FALSE	FALSE	TRUE	FALSE
meg-rosoff	Meg Rosoff	FALSE	FALSE	TRUE	FALSE
melissa-broder	Melissa Broder	FALSE	FALSE	TRUE	FALSE
melissa-harrison	Melissa Harrison	FALSE	FALSE	TRUE	TRUE
merve-emre	Merve Emre	TRUE	FALSE	TRUE	FALSE
michael-chabon	Michael Chabon	FALSE	FALSE	TRUE	FALSE
michael-donkor	Michael Donkor	FALSE	FALSE	TRUE	FALSE
nadifa-mohamed	Nadifa Mohamed	FALSE	FALSE	TRUE	FALSE
naoise-dolan	Naoise Dolan	FALSE	FALSE	TRUE	FALSE
natalie-haynes	Natalie Haynes	FALSE	FALSE	TRUE	TRUE
natasha-walter	Natasha Walter	FALSE	FALSE	TRUE	TRUE
nikesh-shukla	Nikesh Shukla	FALSE	FALSE	TRUE	FALSE
nina-allan	Nina Allan	FALSE	FALSE	TRUE	FALSE
nina-stibbe	Nina Stibbe	FALSE	FALSE	TRUE	FALSE
nussaibah-younis	Nussaibah Younis	FALSE	FALSE	TRUE	FALSE
olivia-laing	Olivia Laing	FALSE	FALSE	TRUE	FALSE
parinoush-saniee	Parinoush Saniee	FALSE	FALSE	TRUE	FALSE
pd-smith	PD Smith	FALSE	FALSE	TRUE	FALSE
philippe-sands	Philippe Sands	TRUE	FALSE	FALSE	FALSE
pratinav-anil	Pratinav Anil	TRUE	FALSE	FALSE	FALSE
rachel-kushner	Rachel Kushner	FALSE	FALSE	TRUE	FALSE
rebecca-liu	Rebecca Liu	FALSE	FALSE	FALSE	TRUE
rf-kuang	RF Kuang	FALSE	FALSE	TRUE	FALSE
richard-osman	Richard Osman	FALSE	FALSE	TRUE	FALSE
rishi-dastidar	Rishi Dastidar	FALSE	FALSE	FALSE	FALSE
roxane-gay	Roxane Gay	FALSE	FALSE	TRUE	FALSE
saba-sams	Saba Sams	FALSE	FALSE	TRUE	FALSE
salman-rushdie	Salman Rushdie	FALSE	FALSE	TRUE	FALSE
sam-leith	Sam Leith	FALSE	FALSE	TRUE	TRUE
samantha-ellis	Samantha Ellis	FALSE	FALSE	TRUE	FALSE
samantha-harvey	Samantha Harvey	FALSE	FALSE	TRUE	FALSE
sandra-newman	Sandra Newman	FALSE	FALSE	TRUE	FALSE
sara-collins	Sara Collins	FALSE	FALSE	TRUE	FALSE
sarah-bakewell	Sarah Bakewell	FALSE	FALSE	TRUE	FALSE
sarah-churchwell	Sarah Churchwell	TRUE	FALSE	TRUE	TRUE
sarah-crown	Sarah Crown	FALSE	FALSE	FALSE	FALSE
sarah-moss	Sarah Moss	TRUE	FALSE	TRUE	FALSE
sarah-waters	Sarah Waters	FALSE	FALSE	TRUE	FALSE
sayaka-murata	Sayaka Murata	FALSE	FALSE	TRUE	FALSE
shahidha-bari	Shahidha Bari	TRUE	FALSE	FALSE	TRUE
